epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,98.298,2.22289,5.13808,4.39441,0.02004,7.10614,0.26461,0.30303,0.19236,0.13249,0.25887,0.2883,0.18411,0.11228,1.64585,3.76837,3.86036,0.01662,0,2.872e-05,2.872e-05,2.872e-05
38,100.864,2.22646,4.89526,4.34768,0.01878,7.07624,0.26461,0.30303,0.19236,0.13249,0.25887,0.2883,0.18411,0.11228,1.64585,3.76837,3.86036,0.01662,0,2.674e-05,2.674e-05,2.674e-05
39,103.407,1.85198,3.4676,3.8372,0.01189,5.98141,0.26461,0.30303,0.19236,0.13249,0.25887,0.2883,0.18411,0.11228,1.64585,3.76837,3.86036,0.01662,0,2.476e-05,2.476e-05,2.476e-05
40,106.006,2.23793,5.18891,4.30386,0.02075,7.35357,0.26195,0.30592,0.19911,0.13663,0.26303,0.2886,0.1922,0.11662,1.64628,3.74633,3.81566,0.01667,0,2.278e-05,2.278e-05,2.278e-05
41,109.029,2.34702,5.4994,4.12018,0.02692,6.15243,0.26195,0.30592,0.19911,0.13663,0.26303,0.2886,0.1922,0.11662,1.64628,3.74633,3.81566,0.01667,0,2.08e-05,2.08e-05,2.08e-05
42,111.8,2.25652,5.26245,4.08682,0.02244,6.39711,0.26195,0.30592,0.19911,0.13663,0.26303,0.2886,0.1922,0.11662,1.64628,3.74633,3.81566,0.01667,0,1.882e-05,1.882e-05,1.882e-05
43,114.411,2.17283,4.51137,4.5745,0.01939,6.42246,0.24899,0.30592,0.20287,0.14221,0.24347,0.30001,0.20041,0.12054,1.62118,3.70785,3.80595,0.01634,0,1.684e-05,1.684e-05,1.684e-05
44,117.036,2.16535,4.66075,4.34176,0.02188,6.10206,0.24899,0.30592,0.20287,0.14221,0.24347,0.30001,0.20041,0.12054,1.62118,3.70785,3.80595,0.01634,0,1.486e-05,1.486e-05,1.486e-05
45,119.611,2.40466,4.49459,4.36396,0.02752,6.64686,0.24899,0.30592,0.20287,0.14221,0.24347,0.30001,0.20041,0.12054,1.62118,3.70785,3.80595,0.01634,0,1.288e-05,1.288e-05,1.288e-05
46,122.177,2.37157,4.63009,4.1377,0.02723,6.25357,0.24424,0.31169,0.20572,0.14263,0.23846,0.30447,0.2024,0.11961,1.62012,3.6818,3.83496,0.01641,0,1.09e-05,1.09e-05,1.09e-05
47,124.846,2.17653,4.3668,4.30913,0.02303,6.51789,0.24424,0.31169,0.20572,0.14263,0.23846,0.30447,0.2024,0.11961,1.62012,3.6818,3.83496,0.01641,0,8.92e-06,8.92e-06,8.92e-06
48,127.367,2.33633,4.74194,4.6876,0.02566,7.34556,0.24424,0.31169,0.20572,0.14263,0.23846,0.30447,0.2024,0.11961,1.62012,3.6818,3.83496,0.01641,0,6.94e-06,6.94e-06,6.94e-06
49,129.911,2.18636,4.55348,3.9862,0.02112,5.84846,0.24173,0.30736,0.2021,0.13925,0.23586,0.29726,0.2,0.11695,1.62458,3.66974,3.85407,0.01653,0,4.96e-06,4.96e-06,4.96e-06
50,132.426,2.40002,4.7972,4.21303,0.0256,5.92561,0.24173,0.30736,0.2021,0.13925,0.23586,0.29726,0.2,0.11695,1.62458,3.66974,3.85407,0.01653,0,2.98e-06,2.98e-06,2.98e-06
