epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,266.719,0.34159,0.2552,0.21992,0.00246,0.13139,0.96579,0.94355,0.98487,0.93516,0.97404,0.95161,0.9894,0.90586,0.34508,0.22221,0.2825,0.00395,0,0.0010298,0.0010298,0.0010298
51,271.882,0.34829,0.2581,0.21879,0.00233,0.1152,0.98154,0.96774,0.99248,0.93359,0.9602,0.97288,0.98816,0.91034,0.35871,0.24413,0.21293,0.0041,0,0.00101,0.00101,0.00101
52,276.954,0.34361,0.28258,0.22891,0.00219,0.06164,0.93055,0.89516,0.93983,0.90735,0.9186,0.9101,0.93629,0.86317,0.35068,0.3559,0.39092,0.00362,0,0.0009902,0.0009902,0.0009902
53,282.108,0.33454,0.28857,0.22234,0.00225,0.1319,0.95133,0.95161,0.97759,0.93146,0.95954,0.95968,0.98808,0.92618,0.37359,0.26631,0.27404,0.00367,0,0.0009704,0.0009704,0.0009704
54,287.241,0.34915,0.24914,0.20661,0.00252,0.0652,0.93636,0.9492,0.98478,0.95943,0.94431,0.95726,0.98923,0.93623,0.32874,0.2081,0.23467,0.00322,0,0.0009506,0.0009506,0.0009506
55,292.451,0.32871,0.24607,0.20164,0.00223,0.06271,0.96691,0.94262,0.98279,0.95427,0.97518,0.95068,0.98762,0.93067,0.30315,0.22535,0.25257,0.00299,0,0.0009308,0.0009308,0.0009308
56,301.197,0.34484,0.28899,0.21199,0.00218,0.0561,0.96751,0.9606,0.98931,0.94939,0.96751,0.9606,0.98931,0.93462,0.31452,0.21247,0.21215,0.00293,0,0.000911,0.000911,0.000911
57,306.291,0.32527,0.26781,0.20004,0.00222,0.05233,0.95181,0.97581,0.9893,0.96005,0.95181,0.97581,0.9893,0.94107,0.30229,0.26786,0.20339,0.00304,0,0.0008912,0.0008912,0.0008912
58,311.451,0.32858,0.24411,0.20307,0.00204,0.07755,0.94542,0.97794,0.99084,0.95552,0.93763,0.96988,0.98812,0.94204,0.3349,0.25812,0.2043,0.00357,0,0.0008714,0.0008714,0.0008714
59,316.494,0.32853,0.25264,0.18877,0.00215,0.0552,0.98097,0.97581,0.99174,0.9655,0.98097,0.97581,0.9921,0.93676,0.29499,0.22649,0.17658,0.00281,0,0.0008516,0.0008516,0.0008516
60,321.603,0.33463,0.24172,0.20037,0.00215,0.05454,0.98286,0.92497,0.98718,0.95166,0.98286,0.92497,0.98718,0.91671,0.35285,0.20736,0.24765,0.00381,0,0.0008318,0.0008318,0.0008318
61,326.754,0.30878,0.26094,0.18944,0.00206,0.06431,0.95281,0.97688,0.98966,0.96226,0.95281,0.97688,0.98966,0.9273,0.30108,0.19277,0.22395,0.00299,0,0.000812,0.000812,0.000812
62,331.883,0.29826,0.25442,0.18283,0.00196,0.0484,0.97576,0.97399,0.99057,0.95994,0.97576,0.97399,0.99057,0.9315,0.29222,0.24624,0.21286,0.00296,0,0.0007922,0.0007922,0.0007922
63,337.042,0.29114,0.24454,0.17633,0.00174,0.07266,0.99151,0.94217,0.98998,0.96236,0.99151,0.94217,0.98998,0.93186,0.25974,0.20097,0.23149,0.00242,0,0.0007724,0.0007724,0.0007724
64,342.17,0.30397,0.24268,0.17961,0.00191,0.0542,0.96731,0.95443,0.98819,0.95856,0.96731,0.95443,0.98819,0.94352,0.28946,0.19474,0.2304,0.00264,0,0.0007526,0.0007526,0.0007526
65,347.171,0.29755,0.23746,0.17541,0.00186,0.05507,0.95086,0.92742,0.98408,0.95623,0.95086,0.92742,0.98408,0.93119,0.29572,0.20214,0.25125,0.00283,0,0.0007328,0.0007328,0.0007328
66,352.2,0.30558,0.24306,0.17953,0.00194,0.05854,0.97327,0.92742,0.98855,0.96575,0.97327,0.92742,0.98855,0.93978,0.25977,0.19386,0.19881,0.00235,0,0.000713,0.000713,0.000713
67,357.319,0.31638,0.27348,0.19323,0.00191,0.1063,0.96742,0.95774,0.99187,0.95992,0.96742,0.95774,0.99187,0.93514,0.2946,0.20323,0.19502,0.0027,0,0.0006932,0.0006932,0.0006932
68,362.473,0.29609,0.2929,0.18141,0.00185,0.05086,0.9723,0.95968,0.99076,0.9718,0.96413,0.95161,0.98895,0.94351,0.29171,0.21416,0.17415,0.00295,0,0.0006734,0.0006734,0.0006734
69,367.619,0.28469,0.2456,0.26307,0.00179,0.05822,0.99162,0.95469,0.99282,0.96169,0.99162,0.95469,0.99282,0.94386,0.30264,0.20325,0.16547,0.00304,0,0.0006536,0.0006536,0.0006536
70,372.819,0.28774,0.25456,0.17864,0.00175,0.05515,0.96821,0.95161,0.98977,0.95995,0.96821,0.95161,0.98977,0.9433,0.28358,0.20381,0.18031,0.00271,0,0.0006338,0.0006338,0.0006338
71,377.978,0.29812,0.26406,0.18302,0.00194,0.05961,0.95277,0.97613,0.99089,0.96136,0.95277,0.97613,0.99089,0.9398,0.3212,0.21386,0.18463,0.00319,0,0.000614,0.000614,0.000614
72,383.101,0.2754,0.24382,0.16971,0.00168,0.05176,0.97359,0.97581,0.99166,0.96407,0.97359,0.97581,0.99166,0.94258,0.28942,0.20269,0.16784,0.00282,0,0.0005942,0.0005942,0.0005942
73,388.278,0.28064,0.22814,0.16825,0.00173,0.05906,0.96731,0.95457,0.99101,0.96373,0.96731,0.95457,0.99101,0.94168,0.2984,0.20262,0.18205,0.0032,0,0.0005744,0.0005744,0.0005744
74,393.518,0.27125,0.21807,0.16939,0.00184,0.05251,0.99033,0.95161,0.9918,0.96872,0.99033,0.95161,0.9918,0.93969,0.26785,0.19813,0.18136,0.00256,0,0.0005546,0.0005546,0.0005546
75,398.629,0.28749,0.2269,0.16959,0.0018,0.04949,0.99162,0.95473,0.99216,0.96352,0.99162,0.95473,0.99216,0.93271,0.28265,0.19628,0.17769,0.00279,0,0.0005348,0.0005348,0.0005348
76,403.76,0.27384,0.2251,0.15861,0.00168,0.04421,0.98334,0.95198,0.992,0.97204,0.98334,0.95198,0.992,0.94477,0.25679,0.18424,0.17287,0.00248,0,0.000515,0.000515,0.000515
77,408.964,0.26402,0.24661,0.15284,0.00175,0.04772,0.93717,0.96241,0.98885,0.96846,0.93717,0.96241,0.98885,0.93436,0.25137,0.20684,0.21309,0.00242,0,0.0004952,0.0004952,0.0004952
78,413.947,0.25341,0.21697,0.18746,0.00163,0.04481,0.99137,0.92606,0.98902,0.96094,0.99137,0.92606,0.98902,0.92795,0.26406,0.24231,0.21995,0.00251,0,0.0004754,0.0004754,0.0004754
79,418.974,0.26284,0.23743,0.15526,0.00158,0.04753,0.99153,0.94384,0.99056,0.96398,0.99153,0.94384,0.99056,0.92662,0.28272,0.24242,0.21341,0.00298,0,0.0004556,0.0004556,0.0004556
80,424.022,0.28289,0.22629,0.15846,0.00179,0.05233,0.99435,0.95968,0.99134,0.9718,0.99435,0.95968,0.99134,0.94279,0.25696,0.21406,0.17411,0.00284,0,0.0004358,0.0004358,0.0004358
81,429.12,0.27305,0.21778,0.15951,0.00183,0.04712,1,0.96584,0.99244,0.96547,1,0.96584,0.99244,0.93664,0.2906,0.19211,0.19198,0.00312,0,0.000416,0.000416,0.000416
82,434.2,0.26044,0.21717,0.16039,0.00167,0.05855,1,0.96756,0.99248,0.96903,1,0.96756,0.99248,0.9424,0.27249,0.1828,0.16566,0.00253,0,0.0003962,0.0003962,0.0003962
83,439.275,0.26743,0.23183,0.15587,0.00178,0.05616,0.98944,0.96774,0.99187,0.96861,0.98944,0.96774,0.99187,0.93526,0.25951,0.18438,0.16347,0.0024,0,0.0003764,0.0003764,0.0003764
84,444.37,0.24842,0.21648,0.14962,0.00162,0.05298,0.99171,0.96525,0.99158,0.97381,0.99171,0.96525,0.99158,0.94197,0.24106,0.18609,0.15702,0.00234,0,0.0003566,0.0003566,0.0003566
85,449.526,0.25483,0.21901,0.14098,0.00151,0.05246,0.98175,0.96774,0.99054,0.96838,0.98175,0.96774,0.99054,0.94682,0.25982,0.18674,0.17856,0.00261,0,0.0003368,0.0003368,0.0003368
86,454.607,0.24627,0.22839,0.15874,0.00159,0.05933,0.95975,0.96774,0.99132,0.97218,0.95975,0.96774,0.99132,0.9505,0.2545,0.18362,0.17969,0.00241,0,0.000317,0.000317,0.000317
87,459.782,0.24904,0.22492,0.1426,0.0016,0.04905,0.99576,0.95968,0.99222,0.97346,0.99576,0.95968,0.99222,0.94998,0.24695,0.18642,0.1701,0.00239,0,0.0002972,0.0002972,0.0002972
88,464.926,0.23258,0.21348,0.14249,0.00143,0.04443,0.99158,0.94997,0.9911,0.97484,0.99158,0.94997,0.9911,0.94459,0.20728,0.1835,0.16612,0.00191,0,0.0002774,0.0002774,0.0002774
89,470.104,0.22154,0.21235,0.13724,0.00134,0.05359,0.98351,0.96774,0.99084,0.97078,0.98351,0.96774,0.99084,0.94193,0.22535,0.18506,0.16759,0.00213,0,0.0002576,0.0002576,0.0002576
90,475.162,0.22919,0.20728,0.14194,0.0014,0.05273,0.99173,0.96761,0.99164,0.97347,0.99173,0.96761,0.99164,0.95216,0.23668,0.18556,0.17106,0.00223,0,0.0002378,0.0002378,0.0002378
91,482.109,0.19464,0.1819,0.12192,0.00171,0.04554,0.99926,0.95968,0.99268,0.97636,0.99926,0.95968,0.99268,0.94215,0.22895,0.18309,0.14049,0.00222,0,0.000218,0.000218,0.000218
92,487.088,0.19714,0.18155,0.11023,0.00158,0.04136,0.99532,0.95968,0.99259,0.97699,0.99532,0.95968,0.99259,0.94461,0.22817,0.18111,0.14431,0.00219,0,0.0001982,0.0001982,0.0001982
93,492.113,0.19228,0.183,0.12241,0.00159,0.03306,0.99591,0.95968,0.9926,0.97569,0.99591,0.95968,0.9926,0.94476,0.20958,0.1805,0.13799,0.00191,0,0.0001784,0.0001784,0.0001784
94,497.082,0.17546,0.20374,0.10799,0.00148,0.03591,0.97576,0.97374,0.99292,0.97834,0.97576,0.97374,0.99292,0.94587,0.20732,0.18036,0.13326,0.00198,0,0.0001586,0.0001586,0.0001586
95,502.087,0.18077,0.18523,0.11022,0.0015,0.04045,0.95879,0.97581,0.99274,0.97728,0.95879,0.97581,0.99274,0.94436,0.20258,0.17919,0.13627,0.00194,0,0.0001388,0.0001388,0.0001388
96,507.059,0.17449,0.19085,0.11729,0.00144,0.03823,0.97545,0.97581,0.99321,0.97785,0.97545,0.97581,0.99321,0.94943,0.20017,0.18146,0.13087,0.00188,0,0.000119,0.000119,0.000119
97,512.037,0.16877,0.18408,0.11114,0.00139,0.03403,0.97029,0.97581,0.99256,0.97681,0.97029,0.97581,0.99256,0.94576,0.211,0.18312,0.13796,0.00197,0,9.92e-05,9.92e-05,9.92e-05
98,517.028,0.18142,0.18065,0.10855,0.00147,0.03685,0.98347,0.95948,0.99276,0.97545,0.98347,0.95948,0.99276,0.94465,0.21102,0.18375,0.13404,0.00191,0,7.94e-05,7.94e-05,7.94e-05
99,521.958,0.16832,0.17703,0.11096,0.00129,0.03598,0.98663,0.95968,0.99275,0.97551,0.98663,0.95968,0.99275,0.94553,0.20335,0.18327,0.1331,0.00185,0,5.96e-05,5.96e-05,5.96e-05
100,526.934,0.16535,0.17241,0.11665,0.00134,0.03416,0.98307,0.95968,0.99266,0.97626,0.98307,0.95968,0.99266,0.94832,0.20586,0.18275,0.13339,0.00189,0,3.98e-05,3.98e-05,3.98e-05
