epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,236.196,0.48168,0.50333,0.30256,0.00335,0.1072,0.95078,0.90909,0.95328,0.87215,0.9391,0.92941,0.9651,0.89173,0.53951,0.52187,0.38692,0.00471,0,0.0011486,0.0011486,0.0011486
45,241.309,0.45922,0.48346,0.30228,0.00332,0.09462,0.98706,0.89732,0.95523,0.85849,0.99354,0.90454,0.95992,0.86402,0.52066,0.49369,0.42481,0.0042,0,0.0011288,0.0011288,0.0011288
46,246.454,0.49696,0.49384,0.34456,0.00372,0.08122,0.95201,0.89412,0.95203,0.85382,0.95875,0.9,0.95524,0.86925,0.56996,0.60382,0.4147,0.00533,0,0.001109,0.001109,0.001109
47,251.606,0.45244,0.42254,0.27648,0.00336,0.07346,0.94847,0.91176,0.95354,0.86565,0.94847,0.91176,0.95873,0.86361,0.51116,0.55091,0.39252,0.00434,0,0.0010892,0.0010892,0.0010892
48,256.764,0.47926,0.42866,0.31089,0.0034,0.09451,0.95105,0.9,0.95288,0.85836,0.95727,0.90588,0.95912,0.84639,0.52289,0.61463,0.37872,0.00485,0,0.0010694,0.0010694,0.0010694
49,261.918,0.45372,0.39867,0.29142,0.00312,0.09087,0.87435,0.90056,0.91235,0.82405,0.87435,0.90056,0.91765,0.83058,0.56013,0.65378,0.60676,0.00507,0,0.0010496,0.0010496,0.0010496
50,266.992,0.45039,0.44422,0.28203,0.00329,0.11471,1,0.89969,0.95909,0.88201,0.97346,0.9,0.95623,0.86961,0.48911,0.54414,0.31237,0.00425,0,0.0010298,0.0010298,0.0010298
51,272.092,0.45917,0.49781,0.30599,0.00324,0.10444,0.94806,0.9,0.95634,0.87859,0.92821,0.91262,0.95822,0.87505,0.49764,0.46831,0.33957,0.00427,0,0.00101,0.00101,0.00101
52,277.206,0.44683,0.43379,0.26941,0.00322,0.07224,0.93991,0.92941,0.96256,0.87653,0.94329,0.92941,0.96411,0.87532,0.50762,0.54672,0.37439,0.00459,0,0.0009902,0.0009902,0.0009902
53,282.335,0.42546,0.40086,0.26558,0.00295,0.07622,0.94449,0.9007,0.94959,0.87913,0.95062,0.90597,0.96054,0.88615,0.48193,0.56424,0.39174,0.00432,0,0.0009704,0.0009704,0.0009704
54,287.509,0.41448,0.41263,0.25973,0.00288,0.05965,0.92794,0.90896,0.94321,0.8905,0.93394,0.91484,0.95357,0.85383,0.45939,0.66808,0.41416,0.00423,0,0.0009506,0.0009506,0.0009506
